Fiscal Year,DISTRICT,STATE,Company Name,ASSETS(MILLIONS),Assets Status,LIABILITIES(MILLIONS),Liabilities Status
2011,D,DE,Jackson Hewitt Tax Service Inc.,388.00,Reported,444.00,Reported
2009,SD,TX,Transmeridian Exploration Inc. et al.,377.90,Reported,451.70,Reported
2011,ND,GA,CDC Corporation,377.38,Reported,250.18,Reported
2009,SD,NY,Silicon Graphics Inc.,369.40,Reported,664.30,Reported
2010,D,DE,Barzel Industries Inc.,366.00,Reported,385.00,Reported
2009,ND,GA,Caraustar Industries Inc.,366.00,Reported,376.80,Reported
2009,D,DE,Barzel Industries Inc.,365.80,Reported,384.60,Reported
2010,D,DE,Advanta Group,363.00,Reported,331.00,Reported
2009,D,DE,Indalex Holdings Finance Inc.,356.00,Reported,456.00,Reported
2011,D,DE,Angiotech Pharmaceuticals,326.01,Reported,622.00,Reported
2011,D,DE,Plam Harbor HomesInc.,321.26,Reported,280.34,Reported
2010,ND,IL,Corus Bankshares Inc.,314.15,Reported,532.94,Reported
2011,CD,CA,DigitalPost Interactive Inc.,310.77,Reported,2.35,Reported
2011,D,DE,Harry & David Holdings Inc.,304.00,Reported,361.00,Reported
2009,ND,CA,Asyst Technologies Inc.,295.80,Reported,315.40,Reported
2011,D,NV,Shegda Tech Inc.,295.43,Reported,180.86,Reported
2010,CD,CA,California Coastal Communities Inc.,291.00,Reported,231.00,Reported
2009,D,DE,Dayton Superior Corp.,288.70,Reported,405.90,Reported
2010,D,DE,Neenah Enterprises Inc.,286.61,Reported,449.10,Reported
2011,D,NJ,Visual Management Systems,273.00,Reported,12.25,Reported
2010,SD,TX,Edge Petroleum Corp.,264.00,Reported,234.00,Reported
2009,SD,NY,Lenox Group Inc.,264.00,Reported,238.00,Reported
2009,ED,MI,Noble International Ltd. et al.,190.80,Reported,38.70,Reported
2010,D,DE,Chem Rx Corp.,169.69,Reported,178.28,Reported
2009,WD,LA,Saratoga Resources Inc. et al.,169.30,Reported,110.60,Reported
2010,D,DE,Regent Comms. Inc. Riveria Holdings,166.51,Reported,68.49,Reported
2009,D,DE,Proliance International Inc.,160.30,Reported,133.50,Reported
2009,D,CO,Storm Cat Energy Corporation et al.,154.80,Reported,154.50,Reported
2010,D,DE,The Penn Traffic Company,150.38,Reported,136.87,Reported
2009,MD,FL,Accentia Biopharmaceuticals Inc.,134.90,Reported,77.60,Reported
2011,ED,NY,Tetragenex Pharmaceuticals Inc.,133.03,Reported,3.75,Reported
2010,D,DE,TLC Vision Corp.,130.07,Reported,166.85,Reported
2011,SD,NY,GSC Group Inc.,119.79,Reported,313.56,Reported
2010,SD,NY,GSC Group,119.79,Reported,313.56,Reported
2011,D,DE,Wolverine Tube Inc.,116.00,Reported,238.00,Reported
2010,ED,WI,CIB Maine Bancshares Inc.,105.00,Reported,107.00,Reported
2009,ED,WI,CIB Maine Bancshares Inc.,104.80,Reported,107.20,Reported
2009,WD,MI,Aurora Oil Gas Corp. et al.,103.70,Reported,134.40,Reported
2009,ED,AK,Equity Media Holdings Corporation,103.10,Reported,140.60,Reported
2009,ED,AK,One Shackleford Holdings Corporation,103.10,Reported,140.60,Reported
2009,D,DE,Butler International Inc.,96.40,Reported,75.50,Reported
2010,SD,FL,Medical Staffing Network,96.00,Reported,150.00,Reported
2009,D,DE,Velocity Express Corp.,94.10,Reported,120.60,Reported
2010,D,DE,Velocity Express Corp.,94.00,Reported,121.00,Reported
2011,ND,GA,Gagle's Inc.,92.00,Reported,63.00,Reported
2011,D,DE,Ambassdors International Inc.,86.44,Reported,87.32,Reported
2010,D,AZ,NutraCea,83.70,Reported,18.90,Reported
